trailingPE,averageVolume,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,netIncomeToCommon,trailingEps,enterpriseToRevenue,totalCash,totalCashPerShare,totalDebt,totalRevenue,debtToEquity,earningsGrowth,revenueGrowth,ebitdaMargins,operatingMargins,currentPrice
32.78443,77461,28411910144,398,669,2.7029119,28697659392,0.08229,51845000,0.6037,0.00477,91.815,5.9630775,865019008,16.7,2.73,300676000,5.8,1517913984,10511593472,31.888,-0.638,-0.094,0.12566,0.11111,547.5
21.186869,2949840,117410668544,96.25,174.8,1.9313595,120916910080,0.091230005,699488000,0.59094,0.18691999,49.322,3.402133,5546180096,7.92,1.989,2151040000,3.159,13931599872,60791721984,41.374,0.488,0.039,0.15319,0.10284001,167.8
14.514182,629114,122693959680,254.55,489,0.9665668,128588996608,0.053579997,255080992,0.88354,0.03122,278.348,1.7280527,6801399808,33.14,1.013,7034800128,27.322,11605000192,126937899008,15.375,-0.432,0.026,0.10303,0.06277,481
64.00674,766708,37834465280,214.5,394.9,8.759633,35515564032,0.17122,99512000,0.86459,0.00044,47.946,7.9297547,739531008,5.94,8.223,2595948032,26.124,2056596992,4319183872,42.661,1.735,0.794,0,0.23066999,380.2
12.483514,5301411,1056033734656,358.8,504,0.48403057,1460822867968,0.03865,2231450112,0.35435,0.38524,426.735,1.1090021,84320002048,37.91,0.67,213320007680,96.018,659289997312,2181750063104,69.533,-0.404,-0.087,0.093210004,0.06199,473.25
1030.965,18200,45910392832,871.05,1745,2.8205073,55426002944,0.00275,39062700,0.73463994,0.02868,212.241,5.5375733,44726000,1.14,3.405,271767008,6.957,10910742528,16277352448,130.592,-0.8,0.051,0.10632,0.04,1175.3
37.135937,618280,659116589056,1049.05,1423.3,3.5086927,611233169408,0.09204,491383008,0.51768,0.31298,215.954,6.2112765,17290518528,36.12,3.254,39750774784,80.938,1200845056,187852472320,1.132,0.401,0.14,0.11537,0.11297,1341.35
45.675674,5338464,29914689536,12.25,19.65,1.5658125,12720100352,0.03491,1770099968,0.75,0.06206,22.889,0.7383459,667000000,0.37,0.666,15813099520,9.194,50700000,19104899072,0.121,0.083,0.116,0.16756001,-0.02724,16.9
79.62629,609558,66929078272,252.6,623.7,10.1360855,62155481088,0.12856,108317000,0.69757,0.18298,65.75,9.397719,848910016,7.76,9.413,3174710016,29.314,176910000,6603049984,2.493,1.923,0.798,0.17194,0.10840999,617.9
40.083714,99270,28023758848,501.1,914.45,10.110092,27863846912,0.25254,53206300,0.70725995,0.19143,107.006,4.922154,700000000,13.14,10.052,599670016,11.248,1106919936,2771859968,19.443,-0.529,-0.088,0.43080002,0.32198003,526.7
