trailingPE,priceToBook,trailingEps,debtToEquity,currentPrice,symbol
37.311543,6.2112765,35.95,0.01132,1341.35,ICICIGI.NS
45.675674,0.7383459,0.37,0.00121,16.9,HATHWAY.NS
79.62629,9.397719,7.76,0.02493,617.9,RATEGAIN.NS
40.083714,4.922154,13.14,0.19443,526.7,TARSONS.NS
70.95048,3.059274,12.52,0.65756,888.3,RAMCOCEM.NS
43.594105,2.9872894,4.41,0.12431,192.25,HEIDELBERG.NS
101.770836,1.9695199,0.48,0.27617,48.85,FILATEX.NS
128.25365,26.583447,7.53,2.12575,965.75,WESTLIFE.NS
10.414947,1.6563153,26.63,0.01177,277.35,GSPL.NS
62.57263,5.2465367,47.5,0.74468,2972.2,AMBER.NS
21.668955,4.5249844,7.28,0.00963,157.75,ENGINERSIN.NS
43.86393,5.8318543,7.79,0.899,341.7,DCXINDIA.NS
55.646725,22.219173,12.37,0.03396,688.35,IRCTC.NS
27.585035,6.1864324,4.41,0.03851,121.65,JAMNAAUTO.NS
12.173473,1.4462712,29.63,0.67625,360.7,JINDALSAW.NS
164,0.85354424,0.05,0.45575,8.2,JPPOWER.NS
11.248175,0.82854736,95.86,1.62214,1078.25,PEL.NS
24.488298,1.8477035,28.63,0.33436,701.1,JINDALSTEL.NS
60.63441,1.2937195,9.3,0.04072,563.9,CARTRADE.NS
76.18655,19.654608,15.76,0.17226,1200.7,KPITTECH.NS
11.816302,3.5816593,33.86,0.18436,400.1,MSTCLTD.NS
12.093621,1.0352086,9.72,0.01442,117.55,ANDHRSUGAR.NS
1277.037,1.393227,0.27,0.54137,344.8,NUVOCO.NS
37.31316,5.0884576,508.85,0.00483,18986.8,BOSCHLTD.NS
218.6614,6.6299,3.81,0.60377,833.1,MEDPLUS.NS
48.100002,1.1414154,1.5,1.3262,72.15,PARADEEP.NS
37.296417,3.7287104,18.42,0.06869,687,CONCOR.NS
44.65479,5.734921,17.96,0.06741,802,TTKPRESTIG.NS
24.754082,3.8696294,49.61,0.0965,1228.05,TECHM.NS
17.449434,7.39142,109.76,0.36417,1915.25,ANGELONE.NS
9.826609,1.0611262,63.44,0.00022,623.4,GNFC.NS
31.924883,6.062335,10.65,0.06294,340,KANSAINER.NS
135.1792,10.31276,11.44,0.00394,1546.45,UBL.NS
33.152542,2.9518292,2.95,0.56579,97.8,MOTHERSON.NS
33.558895,10.260536,15.96,0.03913,535.6,EMAMILTD.NS
23.980654,2.6933296,6.72,0.01463,161.15,STARCEMENT.NS
31.693819,7.9955,59.54,0.00127,1887.05,MAZDOCK.NS
182.51923,25.568426,5.2,7.37728,949.1,ADANIGREEN.NS
16.262135,1.685219,37.08,0.67569,603,UPL.NS
21.360973,4.710717,23.88,0.00199,510.1,RITES.NS
19.704212,3.4104686,21.13,0.26087,416.35,WIPRO.NS
38.606762,4.868307,47.91,0.38455,1849.65,PHOENIXLTD.NS
58.736614,7.9627256,4.67,0.09041,274.3,HBLPOWER.NS
40.947746,2.547503,51.86,0.24485,2123.55,DALBHARAT.NS
28.939573,6.2036605,117.5,0.01924,3400.4,EICHERMOT.NS
15.824232,3.1998813,29.3,0.33074,463.65,JSL.NS
9.907491,2.1550076,22.16,0.21913,219.55,PETRONET.NS
8.8119955,0.991178,8.67,4.07311,76.4,HUDCO.NS
23.166412,4.487908,19.77,0.02167,458,GUJGASLTD.NS
35.210426,8.13787,207.91,3.17473,7320.6,BAJFINANCE.NS
8.88085,2.1917188,20.73,3.88409,184.1,ABCAPITAL.NS
667.45764,5.046453,0.59,1.48858,393.8,MAHLOG.NS
20.992737,2.4571733,166.56,0.50863,3496.55,FORCEMOT.NS
16.295101,4.130726,68.18,0.04964,1111,COROMANDEL.NS
41.711205,5.739076,23.2,0.08479,967.7,MOLDTKPAC.NS
55.862946,31.134478,5.91,0.02818,330.15,TIPSINDLTD.NS
9.02527,26.539278,2.77,1.76312,25,SUZLON.NS
277.5578,5.8298073,3.46,0.5288,960.35,IFBIND.NS
42.23534,6.041831,55.92,0.44284,2361.8,BALKRISIND.NS
47.333984,12.549084,30.72,3.78615,1454.1,TVSMOTOR.NS
178.56418,4.496652,2.96,0.54842,528.55,CHEMPLASTS.NS
11.577061,1.358236,36.27,0.23391,419.9,JKIL.NS
58.731384,6.5296593,19.47,0.00162,1143.5,BDL.NS
49.57803,7.0626097,27.49,0.26888,1362.9,METROPOLIS.NS
73.1026,7.2686605,8.09,1.64238,591.4,HINDWAREAP.NS
14.517163,1.2681941,53.02,0.58497,769.7,INDIAGLYCO.NS
19.919678,4.4421096,112.05,0.03695,2232,AUTOAXLES.NS
63.11096,6.165276,7.12,0.1607,449.35,VAIBHAVGBL.NS
40.514236,3.2733755,6.32,0.2314,256.05,HERITGFOOD.NS
34.546078,5.197555,43.84,2.15989,1514.5,BAJAJFINSV.NS
89.23136,8.967027,19.45,0.76579,1735.55,NEOGEN.NS
67.19178,1.756868,0.73,0.70795,49.05,TV18BRDCST.NS
14.429637,3.4312732,28.14,2.48887,406.05,TATAMTRDVR.NS
22.88773,2.7556367,17.28,0.64913,395.5,BALRAMCHIN.NS
18.9753,3.089224,25.91,1.44884,491.65,KIRLOSENG.NS
23.51742,5.623504,13.49,0.01593,317.25,NAM-INDIA.NS
238.02844,1.5080727,4.92,0.74609,1171.1,BIRLACORPN.NS
64.25796,5.898141,11.32,0.04609,727.4,PRINCEPIPE.NS
59.84327,9.256086,52,0.0223,3111.85,INDIAMART.NS
10.03186,2.224263,23.54,1.34801,236.15,VEDL.NS
4.172624,2.7854614,75.54,0.34866,315.2,TRIVENI.NS
42.175644,7.8984766,21.35,0.04032,900.45,ELECON.NS
22.07295,5.164867,27.69,2.48887,611.2,TATAMOTORS.NS
78.11553,7.8900046,10.56,2.68574,824.9,ADANIENSOL.NS
19.874735,8.814636,80.23,0.0542,1594.55,ACCELYA.NS
22.623455,1.8096621,16.2,0.11476,366.5,HERANBA.NS
77.29572,55.31126,208.54,0.00426,16119.25,PGHH.NS
18.38153,1.5101672,98.55,0.83831,1811.5,GRASIM.NS
62.789658,18.229052,14.5,0.56268,910.45,VBL.NS
180.58943,6.3055325,2.46,0.44635,444.25,BORORENEW.NS
16.92609,2.5810251,17.86,0.4008,302.3,GRANULES.NS
28.426086,3.1216576,5.75,1.08141,163.45,GREENPLY.NS
36.000732,5.1952353,68.15,0.12203,2453.45,TEAMLEASE.NS
135.33797,5.1803913,5.03,0.71216,680.75,LODHA.NS
17.530188,3.1792693,27.33,0.32283,479.1,KIRLFER.NS
6.8544965,0.58719486,25.91,0.0002,177.6,GSFC.NS
79.9963,18.361956,54.05,0.01225,4323.8,ASTRAZEN.NS
55.76711,4.673466,432.86,0.14588,24139.35,SHREECEM.NS
14.618401,3.3741531,43.37,0.07345,634,UNIPARTS.NS
53.815353,11.604422,96.78,0.03725,5208.25,POLYCAB.NS
28.365385,1.307972,0.52,0.00158,14.75,INFIBEAM.NS
29.760313,4.0625477,17.94,0.09173,533.9,ZENSARTECH.NS
1935,23.69664,0.07,0.57357,135.45,NYKAA.NS
11.2525215,1.6432506,24.79,0.47617,278.95,CHAMBLFERT.NS
47.766426,5.328149,11.26,0.04355,537.85,THYROCARE.NS
31.671232,1.2172393,3.65,0.36704,115.6,KCP.NS
103.073204,8.450751,23.77,1.40407,2450.05,ADANIENT.NS
18.72436,2.8487926,23.4,0.00128,438.15,AVANTIFEED.NS
15.7415085,2.7745934,48.28,7.92491,760,CANFINHOME.NS
9.201847,1.9679809,138.57,0.90928,1275.1,GRINFRA.NS
3.873073,1.3696123,88.87,1.29621,344.2,BPCL.NS
39.168358,9.4938345,113.63,0.09141,4450.7,LTTS.NS
21.894962,5.5916505,180.03,0.00219,3941.75,HAL.NS
49.02086,8.722921,57.04,0.23079,2796.15,JBCHEPHARM.NS
61.590122,4.575638,20.25,0.14771,1247.2,PATANJALI.NS
27.562998,6.1161036,111.51,0.27444,3073.55,FLUOROCHEM.NS
36.990692,6.8431087,64.45,0.43357,2384.05,SRF.NS
51.09388,8.3980875,11.93,0.31466,609.55,UNOMINDA.NS
21.27759,408.89655,55.73,0.07426,1185.8,HCLTECH.NS
14.992112,2.9037766,44.37,0.91772,665.2,TORNTPOWER.NS
61.797222,4.8180704,13.66,0.09342,844.15,TATACONSUM.NS
102.03608,15.15935,36.86,0.03999,3761.05,DMART.NS
40.532036,3.1196885,8.74,1.33719,354.25,JSWENERGY.NS
42.443977,7.247052,7.14,0.32343,303.05,CROMPTON.NS
4.3582377,1.1002951,57.42,2.19045,250.25,HINDPETRO.NS
7.230295,0.64743805,22.71,1.05535,164.2,RAIN.NS
